agency,city,state,ntd_id,organization_type,reporter_type,report_year,uace_code,uza_name,primary_uza_population,agency_voms,modecd,mode_name,typeofservicecd,mode_voms,form_type,guideway,guideway_questionable,stations,stations_questionable,administrative_buildings,administrative_buildings_1,maintenance_buildings,maintenance_buildings_1,passenger_vehicles,passenger_vehicles_1,other_vehicles,other_vehicles_questionable,fare_collection_equipment,fare_collection_equipment_1,communication_information,communication_information_1,other,other_questionable,reduced_reporter,reduced_reporter_questionable,total,total_questionable
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,VP,Vanpool,DO,991.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,MB,Bus,DO,739.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,26156073,,0,,1249447,,0,,0,,16077568,,0,,43483088,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,CB,Commuter Bus,PT,,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,LR,Light Rail,PT,,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,CB,Commuter Bus,PT,,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,MB,Bus,DO,739.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,491286,,62710,,63512,,72557291,,35214338,,6164624,,0,,16188739,,24324521,,0,,155067021,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,SR,Streetcar Rail,DO,10.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,MB,Bus,PT,58.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,2286053,,0,,0,,0,,0,,0,,2286053,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,DR,Demand Response,PT,366.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,DR,Demand Response,TX,79.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,MB,Bus,PT,58.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,6604153,,0,,0,,0,,0,,0,,6604153,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,FB,Ferryboat,DO,2.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,DR,Demand Response,PT,366.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,LR,Light Rail,PT,,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,TB,Trolleybus,DO,107.0,Uses of Capital (F-20) - Expansion of Service,420613,,0,,0,,0,,0,,0,,0,,0,,0,,0,,420613,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,TB,Trolleybus,DO,107.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,4019769,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4019769,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,FB,Ferryboat,DO,2.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,32438,,0,,0,,104000,,0,,0,,0,,0,,0,,136438,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,DR,Demand Response,TX,79.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,SR,Streetcar Rail,DO,10.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"King County, dba: King County Metro",Seattle,WA,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,80389.0,"Seattle--Tacoma, WA",3544011.0,2352.0,VP,Vanpool,DO,991.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,6429866,,0,,0,,0,,0,,0,,6429866,
Spokane Transit Authority,Spokane,WA,2,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,83764.0,"Spokane, WA",447279.0,316.0,VP,Vanpool,DO,89.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Spokane Transit Authority,Spokane,WA,2,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,83764.0,"Spokane, WA",447279.0,316.0,DR,Demand Response,DO,54.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Spokane Transit Authority,Spokane,WA,2,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,83764.0,"Spokane, WA",447279.0,316.0,DR,Demand Response,DO,54.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,2514280,,0,,0,,0,,0,,0,,2514280,
